name,year,paper title,co-authors,gender,Morrocan affiliation 
Yoshua Bengio,2022,MAgNet: Mesh Agnostic Neural PDE Solver,"Oussama Boussif,  Loubna Benabbou, Dan Assouline",male,no
Yoshua Bengio,2021, Discrete-Valued Neural Communication,"Dianbo Liu, Alex M. Lamb, Kenji Kawaguchi, Anirudh Goyal ALIAS PARTH 
GOYAL, Chen Sun, Michael C. Mozer,",male,no
Yoshua Bengio,2021,A Consciousness-Inspired Planning Agent for Model-Based Reinforcement Learning,"Mingde Zhao, Zhen Liu, Sitao Luan, Shuyuan Zhang, Doina Precup",male,no
Yoshua Bengio,2021,Gradient Starvation: A Learning Proclivity in Neural Networks ,"Mohammad Pezeshki, Oumar Kaba, Aaron C. Courville, Doina Precup, 
Guillaume Lajoie",male,no
Yoshua Bengio,2021,Dynamic Inference with Neural Interpreters ,"Nasim Rahaman, Muhammad Waleed Gondal, Shruti Joshi, Peter Gehler,
 Francesco Locatello, Bernhard Schölkopf",male,no
Yoshua Bengio,2021,Neural Production Systems,"Anirudh Goyal ALIAS PARTH GOYAL, Aniket Didolkar, Nan Rosemary Ke, 
Charles Blundell, Philippe Beaudoin, Nicolas Heess, Michael C. Mozer,",male,no
Yoshua Bengio,2021,Invariance Principle Meets Information Bottleneck for Out-of-Distribution Generalization,"Kartik Ahuja, Ethan Caballero, Dinghuai Zhang, Jean-Christophe Gagnon-Audet,
 Ioannis Mitliagkas, Irina Rish",male,no
Yoshua Bengio,2021,Flow Network based Generative Models for Non-Iterative Diverse Candidate Generation,"Emmanuel Bengio, Moksh Jain, Maksym Korablyov, Doina Precup",male,no
Yoshua Bengio,2021,"The Causal-Neural Connection: Expressiveness, Learnability, and Inference ","Kevin Xia, Kai-Zhan Lee,Elias Bareinboim",male,no
Yoshua Bengio,2020,Hybrid Models for Learning to Branch ,"Prateek Gupta, Maxime Gasse, Elias Khalil, Pawan Mudigonda, Andrea Lodi",male,no
Yoshua Bengio,2020,Untangling tradeoffs between recurrence and self-attention in artificial neural networks ,"Giancarlo Kerg, Bhargav Kanuparthi, Anirudh Goyal ALIAS PARTH GOYAL, Kyle
 Goyette, Guillaume Lajoie",male,no
Yoshua Bengio,2020,Your GAN is Secretly an Energy-based Model and You Should Use Discriminator Driven Latent Sampling,"Tong Che, Ruixiang ZHANG, Jascha Sohl-Dickstein, Hugo Larochelle, Liam Paull,
 Yuan Cao",male,no
Yoshua Bengio,2019,On Adversarial Mixup Resynthesis,"Christopher Beckham, Sina Honari, Vikas Verma, Alex M. Lamb, Farnoosh Ghadiri,
 R Devon Hjelm,Chris Pal",male,no
Yoshua Bengio,2019, Updates of Equilibrium Prop Match Gradients of Backprop Through Time in an RNN with Static Input ,"Maxence Ernoult, Julie Grollier, Damien Querlioz, Benjamin Scellier",male,no
Yoshua Bengio,2019,Unsupervised State Representation Learning in Atari ,"Ankesh Anand, Evan Racah, Sherjil Ozair, Marc-Alexandre Côté, R Devon Hjelm",male,no
Yoshua Bengio,2019,How to Initialize your Network? Robust Initialization for WeightNorm & ResNets,"Devansh Arpit, Víctor Campos,",male,no
Yoshua Bengio,2019, Variational Temporal Abstraction,"Taesup Kim, Sungjin Ahn,",male,no
